CustomerID,Lookalikes
C0001,"[('C0072', 0.9987768952588381), ('C0190', 0.9986570128515178), ('C0048', 0.9978827024947746)]"
C0002,"[('C0029', 0.9998906529958622), ('C0010', 0.9996066053826445), ('C0088', 0.9956258220427743)]"
C0003,"[('C0178', 0.9999961360887427), ('C0052', 0.9991746002372716), ('C0166', 0.9984788973502293)]"
C0004,"[('C0021', 0.9999844684456922), ('C0101', 0.9998605838184581), ('C0173', 0.9992741842297721)]"
C0005,"[('C0112', 0.9998592708958555), ('C0197', 0.9997171308500848), ('C0186', 0.9980459599013688)]"
C0006,"[('C0117', 0.9996768618501434), ('C0171', 0.9957133679439153), ('C0168', 0.9955197439284246)]"
C0007,"[('C0120', 0.9997639568358302), ('C0050', 0.9959923254926464), ('C0115', 0.9948869693715738)]"
C0008,"[('C0113', 0.9850822057114754), ('C0124', 0.9743948645149086), ('C0065', 0.9696068292009401)]"
C0009,"[('C0077', 0.9998716816894867), ('C0083', 0.997604642575368), ('C0010', 0.9893498885438232)]"
C0010,"[('C0029', 0.9999120577582894), ('C0002', 0.9996066053826445), ('C0088', 0.9958736904203793)]"
C0011,"[('C0064', 0.9992431130774673), ('C0137', 0.9986136076934837), ('C0169', 0.9963154018000111)]"
C0012,"[('C0136', 0.99663805644511), ('C0104', 0.996118372899949), ('C0100', 0.995967290584836)]"
C0013,"[('C0143', 0.99999314514105), ('C0099', 0.9975706345006125), ('C0053', 0.9969945711546502)]"
C0014,"[('C0151', 0.9971852576067167), ('C0128', 0.9931284921373538), ('C0097', 0.9895489070767114)]"
C0015,"[('C0063', 0.9971720267131841), ('C0123', 0.9966069636571007), ('C0132', 0.9941868149124873)]"
C0016,"[('C0183', 0.9999953478395556), ('C0107', 0.999483966404943), ('C0149', 0.9979522584727645)]"
C0017,"[('C0004', 0.9985872459521519), ('C0021', 0.9982755837009091), ('C0101', 0.9975607659440585)]"
C0018,"[('C0187', 0.9998258618845867), ('C0171', 0.9992669376217537), ('C0064', 0.9963269778388705)]"
C0019,"[('C0116', 0.9970617410749792), ('C0047', 0.9960705280919315), ('C0024', 0.9887680772484485)]"
C0020,"[('C0140', 0.9939441995907041), ('C0095', 0.9807408309640292), ('C0130', 0.9801236570954784)]"
